system:index,aspect,days,elevation,evimax,evimean,evimedian,evimin,evisum,labels,lstmax,lstmean,lstmedian,lstmin,lstsum,ndvimax,ndvimean,ndvimedian,ndvimin,ndvisum,ndwimax,ndwimean,ndwimedian,ndwimin,ndwisum,precmax,precmean,precmedian,precmin,precsum,slope,time,.geo
1_1_1_1_0000000000000000098c_0_0,323.2224,2,342,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,22.148527,11.074264,11.074264,0.0,22.148527145385742,5.483534,20150217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.14380733022998,23.74471874748925]}"
1_1_1_1_00000000000000000a3b_0_0,169.7456,12,84,0.264632768361582,0.23976594657549866,0.23976594657549866,0.2148991247894153,0.4795318931509973,0,28.630000000000052,28.630000000000052,28.630000000000052,28.630000000000052,28.630000000000052,0.5347648,0.37259355,0.37259355,0.21042228,0.7451871082962646,0.10191395,-0.03792278,-0.03792278,-0.17775951,-0.07584556192159653,13.452143,2.091088,0.0,0.0,25.09305763244629,1.0602435,20150217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.5938404161646,22.88682765115511]}"
1_1_1_1_00000000000000000ce2_0_0,75.359955,6,657,0.3637020661508376,0.360329889625815,0.360329889625815,0.3569577131007925,0.72065977925163,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.77181745,0.77181745,0.77181745,0.77181745,0.7718174539631706,0.0065954057,-0.07028621,-0.07028621,-0.14716782,-0.1405724110081792,20.561918,3.4269865,0.0,0.0,20.561918258666992,2.9789128,20150217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.36963464409392,25.276346306913037]}"
1_1_1_1_00000000000000000de6_0_0,59.583694,6,1108,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,26.238953,4.373159,0.0,0.0,26.23895263671875,6.2722387,20150217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.89639757813791,24.863121276218056]}"
1_1_1_1_00000000000000001075_0_0,229.41493,2,637,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,20.106544,10.053272,10.053272,0.0,20.106544494628906,11.514894,20150217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.01804319045324,23.722260865386264]}"
1_1_1_1_000000000000000010d0_0_0,172.47208,9,204,0.32781036943079117,0.32781036943079117,0.32781036943079117,0.32781036943079117,0.32781036943079117,0,20.79000000000002,20.79000000000002,20.79000000000002,20.79000000000002,20.79000000000002,0.5795375,0.5795375,0.5795375,0.5795375,0.5795374912403644,-0.028238844,-0.028238844,-0.028238844,-0.028238844,-0.028238844126462936,15.176463,2.668953,0.0,0.0,24.020577430725098,2.3959603,20150217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[109.8167976954012,22.65775725370463]}"
1_1_1_1_0000000000000000112d_0_0,275.93002,6,252,0.39183806194618326,0.39183806194618326,0.39183806194618326,0.39183806194618326,0.39183806194618326,0,25.250000000000057,25.250000000000057,25.250000000000057,25.250000000000057,25.250000000000057,0.65223277,0.65223277,0.65223277,0.65223277,0.6522327469553452,-0.03592578,-0.03592578,-0.03592578,-0.03592578,-0.03592577949166298,20.403212,3.4005353,0.0,0.0,20.40321159362793,10.540146,20150217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.21080792757974,24.081586979034075]}"
1_1_1_1_000000000000000012cc_0_0,268.84247,6,218,0.3125,0.3125,0.3125,0.3125,0.3125,0,27.670000000000016,27.670000000000016,27.670000000000016,27.670000000000016,27.670000000000016,0.58752817,0.58752817,0.58752817,0.58752817,0.5875281743050339,-0.06483735,-0.06483735,-0.06483735,-0.06483735,-0.06483735144138336,24.429865,4.0716443,0.0,0.0,24.42986488342285,11.328069,20150217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.42478205397515,24.5981182674028]}"
1_1_1_1_000000000000000013d6_0_0,227.62897,6,30,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,24.810000000000002,24.810000000000002,24.810000000000002,24.810000000000002,24.810000000000002,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,16.825462,2.8042438,0.0,0.0,16.825462341308594,0.2580441,20150217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.43251671398228,24.189384813128417]}"
1_1_1_1_000000000000000017c3_0_0,270.0,6,165,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,12.785336,3.1085608,0.0,0.0,18.65136432647705,1.7825092,20150217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.1601520941191,24.454387821943676]}"
