system:index,aspect,days,elevation,evimax,evimean,evimedian,evimin,evisum,labels,lstmax,lstmean,lstmedian,lstmin,lstsum,ndvimax,ndvimean,ndvimedian,ndvimin,ndvisum,ndwimax,ndwimean,ndwimedian,ndwimin,ndwisum,precmax,precmean,precmedian,precmin,precsum,slope,time,.geo
1_1_1_1_0000000000000000025b_0_0,176.11208,10,494,0.5583793469119099,0.5077725335894087,0.48937594110757904,0.47556231274873684,1.5233176007682259,1,35.81,35.81,35.81,35.81,35.81,0.73957014,0.71636856,0.7209632,0.68857235,2.1491056906659214,0.053598776,6.8729447E-4,0.0016488046,-0.053185698,0.0020618834532797337,9.345218,1.6563568,0.0,0.0,16.563568115234375,11.017723,20150406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.21567255295953,23.124881201446783]}"
1_1_1_1_0000000000000000025c_0_0,180.0,10,86,0.5154028436018958,0.451356999953185,0.451356999953185,0.3873111563044742,0.90271399990637,1,37.370000000000005,37.370000000000005,37.370000000000005,37.370000000000005,37.370000000000005,0.5823096,0.5823096,0.5823096,0.5823096,0.5823095823095823,-0.03923445,-0.04946797,-0.04946797,-0.05970149,-0.09893593937158585,8.423564,1.6361248,0.0,0.0,16.361248016357422,1.7385118,20150406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.96863584982667,23.13386435428798]}"
1_1_1_1_00000000000000000295_0_0,308.03467,10,73,0.6693989071038252,0.46321013275775497,0.3683989621489622,0.3518325290204774,1.389630398273265,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.5907005,0.5843165,0.5843165,0.57793254,1.1686330320881277,0.008558713,-0.027087478,-0.021887826,-0.06793332,-0.08126243390142918,9.848803,2.0301464,0.0,0.0,20.301464080810547,4.7870665,20150406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.70076280638408,23.030558096614232]}"
1_1_1_1_000000000000000002cd_0_0,296.12372,6,263,0.6316140013320506,0.45396100878397894,0.40232295641043925,0.3795841209829868,1.8158440351359157,1,32.03000000000003,32.03000000000003,32.03000000000003,32.03000000000003,32.03000000000003,0.97071326,0.76980627,0.6715719,0.6671336,2.3094188307373513,-0.029940119,-0.08146019,-0.077305205,-0.14129023,-0.32584076561033726,4.5193105,0.7532184,0.0,0.0,4.519310474395752,9.777925,20150406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.86046496677312,22.783521393481365]}"
1_1_1_1_000000000000000002d5_0_0,271.30484,6,128,0.3435399551904406,0.29203172631106167,0.27722040613337495,0.2701461377870564,1.1681269052442467,1,34.05000000000001,34.05000000000001,34.05000000000001,34.05000000000001,34.05000000000001,0.65025127,0.5942816,0.58224916,0.56237704,2.3771265650932514,0.016124904,-0.025537942,-0.013736148,-0.090804376,-0.10215176828205585,5.1389537,0.8564923,0.0,0.0,5.138953685760498,5.077833,20150406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.57749565227547,22.70267301791061]}"
1_1_1_1_000000000000000002d6_0_0,271.30484,6,128,0.3435399551904406,0.29203172631106167,0.27722040613337495,0.2701461377870564,1.1681269052442467,1,34.05000000000001,34.05000000000001,34.05000000000001,34.05000000000001,34.05000000000001,0.65025127,0.5942816,0.58224916,0.56237704,2.3771265650932514,0.016124904,-0.025537942,-0.013736148,-0.090804376,-0.10215176828205585,5.1389537,0.8564923,0.0,0.0,5.138953685760498,5.077833,20150406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.57749565227547,22.70267301791061]}"
1_1_1_1_000000000000000002ab_0_0,60.931675,23,330,0.5516289342904473,0.43847469015800106,0.4205472529059275,0.3675084037058293,3.0693228311060072,1,30.610000000000014,27.814000000000032,28.390000000000043,24.630000000000052,139.07000000000016,0.8017894,0.740425,0.74285716,0.672291,5.182974810325176,0.055371508,0.0035536103,-0.0044203624,-0.049037416,0.024875272065401077,8.259808,0.35912207,0.0,0.0,8.259807586669922,4.1685624,20151029,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.75553716730612,22.9047939568375]}"
1_1_1_1_00000000000000000151_0_0,120.48056,5,793,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0,0.0,0.0,0.0,0.0,7.836108,20150912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.07481214212774,24.11302801397826]}"
1_1_1_1_00000000000000000152_0_0,109.70502,5,780,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0,0.0,0.0,0.0,0.0,15.5920725,20150912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.07481214212774,24.117519590398853]}"
1_1_1_1_0000000000000000024b_0_0,245.87973,2,144,0.47052401746724887,0.47052401746724887,0.47052401746724887,0.47052401746724887,0.47052401746724887,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.7539359,0.7539359,0.7539359,0.7539359,0.7539358600583089,0.0038378108,0.0038378108,0.0038378108,0.0038378108,0.003837810829281807,5.3002834,2.6501417,2.6501417,0.0,5.300283432006836,2.6931977,20150615,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.95965269698547,23.210221153438138]}"
